Clusters,Year,Clay%,innundation_length,ZONE,SEASON,Pool,mntd.result_A.mntd.obs.z,mpd.result_A.mpd.obs.z,MNTD,MNTD_REDO,MPD,MPD_REDO,PDfaith,Richness,CWV.LA,CWM.LA,CWV.H,CWM.H
A1_E_B,1,76,5,B,E,A,0.271900624,0.249134582,0.249884055,0.193298968,0.241284765,0.207178966,0.252396745,2,5.971987315,9.5,38.21353066,25
A1_L_B,1,76,5,B,L,A,1.439876485,0.787507774,1.705182606,1.625255154,0.505994605,0.487168604,1.339113363,7,74.24535159,37.22428571,111.9217759,50.85714286
A1_M_B,1,76,5,B,M,A,0.09997714,-0.954946626,0.201773605,0.076102265,-1.972721867,-1.951250242,-0.500415169,8,647.701105,11.3775,681.9915433,24.25
A1_E_E,1,22,4,E,E,A,,,,,,,,1,5.818181818,,36.36363636,
A1_L_E,1,22,4,E,L,A,-1.818250616,-1.598781337,-1.855769694,-1.811797214,-1.538531862,-1.558661164,-1.748822418,3,35.64237183,7.583333333,100.8308668,22.33333333
A1_M_E,1,22,4,E,M,A,-0.925905195,-0.774620813,-0.805754623,-0.845011266,-0.738336481,-0.695565196,-0.686697462,5,6.268598044,13.23,43.41807611,28.4
A1_E_U,1,15,0,U,E,A,-1.867381681,-1.723280789,-0.947775432,-0.935485958,-0.984375449,-0.902266567,-0.833858365,4,86.57505285,30,287.4603594,48.75
A1_L_U,1,15,0,U,L,A,-0.778177768,0.382060889,-0.229629681,-0.168706857,0.246580312,0.755377563,-0.196707958,9,123.7862738,93.17777778,362.8816068,58.11111111
A1_M_U,1,15,0,U,M,A,1.741908398,1.661696949,1.184516297,1.206033562,1.432538869,1.364093021,1.543292125,10,10344.82108,21.35,831.6844609,39.8
A2_E_B,2,76,4,B,E,A,-0.203316421,-0.648616984,-0.128483461,-0.234234104,-1.799938993,-1.647077049,-0.757642241,7,5.971987315,5.145714286,38.21353066,25.42857143
A2_L_B,2,76,4,B,L,A,1.163587684,-1.160206987,1.502954741,1.20938959,-1.368128877,-2.109482189,0.710493332,12,74.00043869,25.50166667,87.65486258,48.25
A2_M_B,2,76,4,B,M,A,0.520830285,0.167601151,0.578987403,0.468574078,-0.741626753,-0.72891575,0.047081302,8,639.6187896,24.5025,356.5792812,37.25
A2_E_E,2,22,2,E,E,A,-1.807422468,-1.473549868,-1.696159527,-1.64925586,-1.480935523,-1.396434699,-1.540425213,6,5.895183668,13.69166667,39.12896406,32
A2_L_E,2,22,2,E,L,A,-0.823934791,-0.950833922,-0.732497176,-0.008255503,-0.884282506,-0.026582871,-0.544893193,7,67.66948599,27.30714286,398.8541226,34.85714286
A2_M_E,2,22,2,E,M,A,-1.807422468,-1.473549868,-1.696159527,-1.64925586,-1.480935523,-1.396434699,-1.440188019,6,36.64280523,13.69166667,21.68710359,32
A2_E_U,2,15,0,U,E,A,0.196581665,-0.266560672,-0.539560917,-0.51073521,-0.594138789,-0.597681477,-0.278072371,7,5.113636364,21.12857143,36.36363636,42.85714286
A2_L_U,2,15,0,U,L,A,0.845280521,1.077145688,0.921282652,0.953347983,0.849476298,1.177431291,0.808427054,11,111.1583668,26.82727273,671.8816068,51.54545455
A2_M_U,2,15,0,U,M,A,2.201214722,1.603751421,2.327115,2.281897897,1.562231226,1.580693362,2.19869004,8,10488.42953,20.0625,864.5216702,43.75
A3_E_B,3,76,0,B,E,A,0.59266286,0.312335136,0.776735567,0.706011108,0.277317827,0.302135557,0.616505196,4,5.971987315,5.8925,38.21353066,25
A3_L_B,3,76,0,B,L,A,0.673366499,0.081884961,0.710781806,0.638722666,-0.868613499,-0.84539092,0.162696972,8,150.301653,26.52125,262.8731501,50.5
A3_M_B,3,76,0,B,M,A,-0.415631919,-0.577560682,-0.416193689,-0.475611961,-1.823434178,-1.787742755,-0.928314579,6,710.1710835,5.028333333,836.3023256,27.33333333
A3_E_E,3,22,0,E,E,A,-0.925905195,-0.774620813,-0.805754623,-0.845011266,-0.738336481,-0.695565196,-0.638491989,5,35.50162791,13.23,95.91701903,28.4
A3_L_E,3,22,0,E,L,A,-0.679093796,-0.013178166,-0.548403835,-0.597862087,0.016986881,0.039237265,-0.277767697,8,169.7942112,20.59375,842.6273784,47.75
A3_M_E,3,22,0,E,M,A,-0.377358832,-0.582362233,-0.293920561,-0.378341247,-0.558899266,-0.515748875,-0.328749984,6,145.5148626,17.69166667,791.3995772,27.83333333
A3_E_U,3,15,0,U,E,A,-1.060923199,-1.176248443,-1.857955192,-1.879917617,-1.631449801,-1.695368536,-1.657755515,5,73.08439746,20.38,297.0798097,46
A3_L_U,3,15,0,U,L,A,-0.448536492,1.14792556,-0.544723669,-0.393383387,0.838262746,1.262766303,-0.018472116,15,212.685851,20.38,928.3229387,51
A3_M_U,3,15,0,U,M,A,0.996596624,0.880807942,0.503569119,0.529668613,0.742450531,0.751746154,1.018706251,11,10479.41812,22.59090909,1349.953488,43
B1_E_B,1,82,3,B,E,B,0.271900624,0.249134582,0.249884055,0.193298968,0.241284765,0.207178966,0.229209554,2,7.589537632,9.5,109.1141649,25
B1_L_B,1,82,3,B,L,B,0.878624225,0.748836036,0.968720039,0.97046113,0.764704493,0.744844887,0.904984328,5,583.3155419,45.7,413.807611,39.2
B1_M_B,1,82,3,B,M,B,-0.126271714,-0.913710013,0.017530966,-0.038067385,-0.811302899,-0.901361737,-0.260736395,6,661.0574023,14.18333333,904.0438689,24.16666667
B1_E_E,1,27,2,E,E,B,0.221298633,0.227968265,0.230122837,0.221050109,0.21169454,0.22650682,0.254692008,2,40.34173758,9.125,150.1437632,26
B1_L_E,1,27,2,E,L,B,-1.798215233,-1.5534927,-1.816360744,-1.94252831,-1.435442513,-1.536321807,-1.579491419,3,40.34173758,15.58333333,150.1437632,17.33333333
B1_M_E,1,27,2,E,M,B,0.104906367,0.238511118,0.146008034,0.132057265,0.299417507,0.306250833,0.342237349,6,288.0617693,17.525,213.602537,42
B1_E_U,1,17,0,U,E,B,,,,,,,,1,90.322426,,360.5708245,
B1_L_U,1,17,0,U,L,B,-0.232596253,0.370660674,-0.525185489,-0.200212583,-1.91017177,0.357223333,-1.248596647,7,100.6583668,120.3714286,352.6955603,63.57142857
B1_M_U,1,17,0,U,M,B,1.349917075,1.349619044,1.438671417,1.38813082,1.319798182,1.421059099,1.573170023,8,347.8662315,21.1875,632.8472516,52.5
B2_E_B,2,82,3,B,E,B,-0.415631919,-0.577560682,-0.295410288,-0.346698514,-0.538467475,-0.56242971,-0.352926321,5,7.000438689,6.02,84.01849894,25.8
B2_L_B,2,82,3,B,L,B,0.920836221,0.139470367,1.032783945,0.921420243,0.204804785,0.162803249,0.80602594,8,7.000438689,41.5125,84.01849894,45.75
B2_M_B,2,82,3,B,M,B,-0.415631919,-0.577560682,-0.295410288,-0.346698514,-0.538467475,-0.56242971,-0.3233695,5,723.0932505,6.02,574.0359408,25.8
