species,genus,family,species.relative,genus.relative
Trifolium_variegatum,Trifolium,Fabaceae,,
Avena_fatua,Avena,Poaceae,,
Hordeum_brachyantherum,Hordeum,Poaceae,,
Castilleja_attenuata,Castilleja,Orobanchaceae,,
Erodium_botrys,Erodium,Geraniaceae,,
Limnanthes_douglasii,Limnanthes,Limnanthaceae,,
Plagiobothrys_humistratus,Plagiobothrys,Boraginaceae,,
Mimulus_tricolor,Mimulus,Phrymaceae,,
Senecio_vulgaris,Senecio,Asteraceae,,
Trifolium_depauparatum,Trifolium,Fabaceae,,
Hypochaeris_glabra,Hypochaeris,Asteraceae,,
Achyrachaena_mollis,Achyrachaena,Asteraceae,,
Lasthenia_fremontii,Lasthenia,Asteraceae,,
Psilocarphus_chilensis,Psilocarphus,Asteraceae,,
Sidalcea_calycosa,Sidalcea,Malvaceae,,
Cotula_coronopifolia,Cotula,Asteraceae,,
Eleocharis_macrostachya,Eleocharis,Cyperaceae,,
Bromus_hordeaceus,Bromus,Poaceae,,
Calandrinia_menziesii,Calandrinia,Montiaceae,,
Trifolium_microcephalum,Trifolium,Fabaceae,,
Lepidium_nitidum,Lepidium,Brassicaceae,,
Dichelostemma_capitatus,Dichelostemma,Asparagaceae,,
Festuca_perennis,Festuca,Poaceae,,
Triphysaria_eriantha,Triphysaria,Orobanchaceae,,
Erodium_cicutarium,Erodium,Geraniaceae,,
Plagiobothrys_nothofulvus,Plagiobothrys,Boraginaceae,,
Eschscholiza_lobbii,Eschscholiza,Papaveraceae,,
Briza_minor,Briza,Poaceae,,
Muilla_maritima,Muilla,Asparagaceae,,
Downingia_pulchella,Downingia,Campanulaceae,,
Alopecurus_pratensis,Alopecurus,Poaceae,,
Brodiaea_elegans,Brodiaea,Asparagaceae,,
Trifolium_willdenovii,Trifolium,Fabaceae,,
Sanicula_bipinnatifida,Sanicula,Apiaceae,,
Pogogyne_zizyphoroides,Pogogyne,Lamiaceae,,
Triteleia_hyacinthina,Triteleia,Asparagaceae,,
Psilocarphus_tenellus,Psilocarphus,Asteraceae,,
Hesperevax_caulescens,Hesperevax,Asteraceae,,
Capsella_bursa-pastoris,Capsella,Brassicaceae,,
Amsinckia_menziesii,Amsinckia,Boraginaceae,,
Eryngium_aristulatum,Eryngium,Apiaceae,,
Deschampsia_danthoniodes,Deschampsia,Poaceae,,
